Hostname,IP_Address,Operating_System,CPU,Memory_GB,Storage_GB,Location,Environment,Status,Owner,Purchase_Date,Warranty_Expiry,Last_Patched_Date
Lyra,192.168.42.192,Windows Server 2019,Intel Core i7,32,500,North Geoffrey,Production,Under_Maintenance,Dustin Buchanan,27-08-2022,28-02-2025,27-10-2024
Orion,172.28.129.208,CentOS 7,Intel Core i7,16,500,Jackview,Production,Decommissioned,Tracy Alvarez,29-04-2022,08-12-2026,28-11-2023
Pegasus,172.29.251.33,Windows Server 2019,Intel Xeon,64,500,Lake Nicholas,Testing,Inactive,Brian Contreras,19-03-2023,20-11-2024,02-01-2024
Phoenix,10.139.94.119,Amazon Linux 2,Intel Xeon,32,1000,Butlerland,Staging,Inactive,Anne Smith,12-10-2023,28-08-2027,01-10-2024
Sagittarius,172.23.230.161,CentOS 7,AMD EPYC,128,500,Smithside,Development,Inactive,Michael Long,20-07-2023,04-10-2026,23-11-2023
Taurus,192.168.185.184,CentOS 7,AMD EPYC,128,2000,Lake Erikachester,Testing,Inactive,Donna Shaw,26-04-2022,25-03-2026,29-10-2024
UrsaMajor,10.49.22.62,Ubuntu 20.04,Intel Core i7,16,2000,South Charlesview,Production,Decommissioned,Courtney Barrett,14-08-2023,18-03-2026,08-09-2024
UrsaMinor,192.168.103.87,Ubuntu 20.04,Intel Xeon,64,1000,South Laurenville,Testing,Decommissioned,Paula Stewart,23-03-2023,20-05-2027,12-07-2024
Vulpecula,172.26.167.153,Windows Server 2019,Intel Core i7,16,500,Acostaburgh,Development,Decommissioned,Jeffrey Duarte,27-01-2023,23-03-2025,23-07-2024
Achernar,192.168.109.130,Amazon Linux 2,Intel Xeon,32,2000,Rodneyport,Development,Active,Sandra Green,11-07-2022,06-09-2026,21-03-2024
Alhena,10.229.224.195,Windows Server 2019,Intel Core i7,64,2000,Elizabethstad,Production,Inactive,Matthew Russell,28-06-2023,17-11-2026,23-12-2023
Antlia,192.168.44.51,Ubuntu 20.04,AMD EPYC,128,2000,Keithberg,Testing,Active,Yvonne Kelly,22-02-2023,21-10-2025,08-07-2024
Apus,192.168.190.100,CentOS 7,Intel Xeon,32,500,Thompsonborough,Testing,Decommissioned,Matthew Webster,08-08-2022,26-06-2026,03-04-2024
Ara,10.141.168.148,Amazon Linux 2,Intel Core i5,16,2000,Mathisview,Production,Decommissioned,Jennifer Chapman,09-10-2022,08-03-2025,18-04-2024
Bootes,192.168.245.193,Ubuntu 20.04,Intel Core i7,64,1000,Gentryside,Production,Under_Maintenance,Mr. Kevin Hughes,28-11-2021,01-10-2025,29-07-2024
Caelum,172.24.196.181,Amazon Linux 2,Intel Xeon,128,2000,Joneschester,Staging,Decommissioned,Susan Peters,01-12-2022,06-12-2024,21-03-2024
Camelopardalis,172.27.176.226,Amazon Linux 2,Intel Core i7,64,1000,South Mary,Testing,Inactive,Jon Ramsey,11-04-2023,24-08-2027,23-02-2024
CanesVenatici,10.114.186.16,CentOS 7,Intel Core i5,128,500,Victoriaborough,Development,Inactive,Dean Copeland,12-11-2022,12-02-2025,17-01-2024
Centaurus,10.131.30.198,Red Hat Enterprise Linux 8,Intel Core i5,32,1000,Port Ashley,Production,Active,Stephanie Montes,03-09-2023,16-03-2025,05-11-2024
Cepheus,10.164.58.144,Red Hat Enterprise Linux 8,AMD EPYC,128,1000,New John,Development,Inactive,Gregory Meyer,27-05-2022,07-12-2024,06-08-2024
Chamaeleon,10.26.87.62,Windows Server 2019,Intel Core i7,32,500,Lake Jeremiah,Testing,Decommissioned,Christine Pena,05-12-2022,12-12-2024,24-06-2024
Circinus,172.31.64.68,Red Hat Enterprise Linux 8,AMD EPYC,128,500,North Elizabethland,Staging,Under_Maintenance,Jeffery Morris,19-07-2023,02-09-2025,05-07-2024
Columba,10.114.106.80,Ubuntu 20.04,AMD EPYC,32,1000,Port Andrew,Testing,Under_Maintenance,Angela Hamilton,02-08-2023,12-04-2025,18-11-2023
Corvus,10.206.113.182,Ubuntu 20.04,Intel Core i7,128,500,East Jeffery,Staging,Decommissioned,Laurie Mckinney,11-12-2022,21-03-2026,30-01-2024
Crater,10.57.243.162,Amazon Linux 2,Intel Core i5,128,1000,New Emily,Testing,Under_Maintenance,Stacy Massey,25-06-2022,18-07-2026,28-02-2024
Delphinus,192.168.138.201,Ubuntu 20.04,Intel Core i7,64,500,Ashleyside,Staging,Active,Virginia Henderson,25-12-2022,08-06-2027,01-10-2024
Dorado,192.168.56.124,Red Hat Enterprise Linux 8,Intel Core i5,128,2000,Port Karenfurt,Development,Active,Lisa Morales,09-07-2023,24-06-2025,03-07-2024
Equuleus,192.168.149.54,Amazon Linux 2,AMD EPYC,32,1000,West Jeromechester,Production,Inactive,Michael Smith,17-01-2022,18-12-2024,11-07-2024
Eridanus,172.20.214.182,Windows Server 2019,Intel Core i5,128,1000,Jeremyhaven,Development,Active,Gary Johnson,06-05-2023,01-01-2027,29-02-2024
Fornax,192.168.12.218,Windows Server 2019,Intel Core i5,64,1000,Jasonview,Development,Inactive,Tonya Turner,20-09-2022,29-05-2026,17-06-2024
Grus,172.25.72.157,Amazon Linux 2,Intel Core i7,64,1000,Underwoodmouth,Development,Under_Maintenance,Maria Morris,02-05-2023,03-10-2025,30-11-2023
Hercules,192.168.78.135,Amazon Linux 2,AMD EPYC,32,2000,Lake Corey,Production,Inactive,David Williams,02-03-2023,02-07-2027,05-06-2024
Horologium,172.27.41.49,Amazon Linux 2,Intel Core i7,64,500,Nelsonmouth,Staging,Under_Maintenance,Joyce Hunter,13-05-2022,19-04-2026,17-04-2024
Indus,10.65.251.98,Amazon Linux 2,Intel Core i7,128,2000,Port Anthonyfort,Production,Active,Christina Ortega,18-12-2021,22-05-2027,30-12-2023
Lacerta,10.151.208.38,Red Hat Enterprise Linux 8,Intel Core i5,128,500,Lake Steven,Development,Inactive,Joseph Moore,07-02-2022,02-02-2027,10-01-2024
LeoMinor,172.20.149.46,Red Hat Enterprise Linux 8,Intel Core i7,128,1000,Desireefurt,Production,Inactive,Dr. Michael Garcia,06-10-2023,11-02-2025,09-10-2024
Lepus,192.168.52.249,Red Hat Enterprise Linux 8,Intel Core i7,128,500,Johnfort,Testing,Under_Maintenance,Kyle Thomas,02-07-2022,15-09-2027,06-07-2024
Libra,10.214.21.115,Ubuntu 20.04,Intel Xeon,128,1000,Peterbury,Development,Decommissioned,Elaine Glass,16-04-2023,17-05-2025,14-10-2024
Lupus,10.173.161.43,Red Hat Enterprise Linux 8,Intel Xeon,16,500,Debraland,Development,Active,Catherine Moore,22-08-2023,15-01-2027,23-10-2024
Microscopium,192.168.163.17,CentOS 7,AMD EPYC,16,1000,Silvaton,Development,Decommissioned,Julian Bolton,05-02-2022,29-11-2024,19-07-2024
Monoceros,10.74.142.103,Red Hat Enterprise Linux 8,Intel Xeon,32,500,Christopherstad,Testing,Under_Maintenance,Jennifer Cisneros,17-10-2023,08-04-2025,25-09-2024
Musca,172.21.5.90,Ubuntu 20.04,Intel Core i5,128,2000,Lewismouth,Development,Inactive,Dr. Scott Barr,19-06-2022,06-01-2026,13-11-2024
Norma,10.98.77.192,Windows Server 2019,Intel Xeon,32,500,Smithfurt,Staging,Under_Maintenance,Nicole Garner,25-08-2023,26-02-2025,07-09-2024
Octans,192.168.220.105,Ubuntu 20.04,Intel Core i5,64,2000,Antonioview,Development,Active,Kelly Clark,22-11-2021,17-08-2026,22-05-2024
Ophiuchus,172.16.113.105,CentOS 7,Intel Core i5,16,500,Lake Harold,Testing,Active,Justin Jones,12-08-2022,02-01-2026,23-03-2024
Pavo,172.17.68.239,Windows Server 2019,Intel Xeon,128,1000,Lake William,Testing,Under_Maintenance,Erin Jones,04-08-2022,18-12-2026,14-07-2024
Pictor,172.16.247.91,Ubuntu 20.04,Intel Core i5,128,500,Port Kenneth,Testing,Active,Cheryl Edwards,20-10-2022,27-04-2027,20-06-2024
Puppis,172.24.128.92,Windows Server 2019,AMD EPYC,32,1000,New Clairestad,Production,Decommissioned,Ryan Powers,26-03-2022,18-02-2026,18-10-2024
Pyxis,192.168.241.219,Windows Server 2019,Intel Core i5,32,500,New Shannon,Testing,Inactive,Darryl Thornton,31-12-2021,17-06-2025,01-06-2024
Reticulum,172.24.79.191,Windows Server 2019,AMD EPYC,32,500,South Matthew,Staging,Under_Maintenance,Jason White,30-07-2022,03-08-2026,11-12-2023
Scorpius,10.49.188.42,Amazon Linux 2,AMD EPYC,128,500,New Richard,Staging,Active,Jennifer Fuentes,24-07-2023,05-10-2026,18-02-2024
Scutum,192.168.159.213,Amazon Linux 2,AMD EPYC,128,500,East Kaylaland,Staging,Inactive,Hannah Bush,27-06-2023,11-03-2025,29-07-2024
Serpens,192.168.247.173,Amazon Linux 2,Intel Core i7,16,2000,New Angelport,Staging,Under_Maintenance,Heather Allen,07-06-2023,18-11-2025,21-06-2024
Sextans,10.210.18.142,Ubuntu 20.04,Intel Core i7,64,2000,New Leahburgh,Development,Under_Maintenance,William Johnson,09-11-2023,13-01-2025,17-10-2024
Telescopium,172.21.12.26,Red Hat Enterprise Linux 8,Intel Core i7,128,500,Brownville,Production,Decommissioned,Abigail Goodman,09-01-2023,28-10-2025,14-11-2023
Triangulum,172.30.24.202,Amazon Linux 2,AMD EPYC,64,2000,West Larryburgh,Development,Under_Maintenance,Jordan Torres,07-09-2022,16-12-2026,27-02-2024
Tucana,172.17.91.89,CentOS 7,AMD EPYC,32,1000,Port Robert,Staging,Under_Maintenance,Cindy Jones,20-12-2021,03-05-2026,28-01-2024
Vela,172.21.234.12,Ubuntu 20.04,Intel Core i5,64,2000,Chelseaburgh,Production,Active,Matthew Ruiz,27-05-2022,11-12-2024,20-05-2024
Volans,172.19.111.18,Ubuntu 20.04,AMD EPYC,64,2000,Lake Mike,Production,Under_Maintenance,Louis Hernandez,07-03-2023,07-11-2027,06-12-2023
Sagitta,10.150.82.84,Ubuntu 20.04,AMD EPYC,16,2000,Kennethchester,Development,Decommissioned,Dwayne Matthews,04-09-2023,07-01-2026,11-01-2024
Aries,172.28.86.19,Amazon Linux 2,AMD EPYC,128,500,Port Lisa,Testing,Under_Maintenance,Samuel Nelson,07-12-2022,21-07-2026,19-05-2024
Auriga,192.168.201.185,Amazon Linux 2,Intel Xeon,32,500,Garciastad,Testing,Decommissioned,Derrick Harrison MD,11-08-2022,20-12-2024,05-11-2024
Berenices,192.168.91.0,Ubuntu 20.04,Intel Core i5,16,2000,Catherineville,Testing,Active,Darryl Case,07-08-2023,30-07-2025,01-11-2024
CoronaBorealis,192.168.145.131,CentOS 7,Intel Core i7,64,1000,Tamaraland,Development,Active,Kevin Davis,29-08-2022,07-12-2025,07-11-2024
CoronaAustralis,10.98.127.237,Windows Server 2019,Intel Xeon,32,2000,Bellmouth,Development,Active,Michael Collins,18-10-2022,18-07-2025,21-07-2024
Crux,192.168.199.240,Amazon Linux 2,Intel Xeon,128,1000,Adkinsstad,Development,Active,Lance Hernandez,15-09-2022,25-06-2026,06-12-2023
Gemini,10.44.25.107,Amazon Linux 2,Intel Core i7,16,2000,Cynthialand,Testing,Inactive,Lauren Hardy,17-10-2023,27-05-2027,08-08-2024
Herculis,172.27.1.139,Ubuntu 20.04,Intel Core i7,64,2000,Harrisfurt,Development,Inactive,Kelly Tanner,06-06-2022,29-07-2026,07-01-2024
Hydrus,192.168.54.14,CentOS 7,AMD EPYC,64,2000,Greentown,Development,Active,Jennifer Watson,11-03-2022,07-05-2026,19-06-2024
Lynx,10.2.50.240,Ubuntu 20.04,Intel Core i5,32,1000,Morrowburgh,Testing,Inactive,Catherine Smith,26-03-2023,03-04-2025,29-11-2023
Pisces,10.201.20.91,Windows Server 2019,Intel Xeon,128,1000,New Rachelberg,Production,Under_Maintenance,Douglas Rosario,11-03-2022,18-04-2026,04-09-2024
Trianguli,10.47.100.89,Red Hat Enterprise Linux 8,Intel Core i7,32,500,South Brianstad,Staging,Active,Gabrielle Hammond,04-09-2022,12-10-2025,15-08-2024
Cetus,172.31.163.34,Amazon Linux 2,Intel Core i5,64,1000,East Anthony,Development,Active,Lee Mcguire,22-10-2022,05-10-2026,26-01-2024
Hydrae,192.168.149.189,Ubuntu 20.04,Intel Core i5,32,2000,Mcclainview,Staging,Under_Maintenance,Troy Lopez,09-12-2022,22-12-2025,03-04-2024
LeoMinor,192.168.89.220,Red Hat Enterprise Linux 8,Intel Core i5,128,1000,Christinachester,Development,Decommissioned,Andrea Hicks,17-12-2022,12-07-2025,28-03-2024
Piscium,172.18.58.202,Amazon Linux 2,AMD EPYC,128,500,South Joshua,Development,Active,Lisa Guzman,05-07-2023,14-07-2027,19-01-2024
Aquila,192.168.223.151,Red Hat Enterprise Linux 8,Intel Xeon,64,2000,Port Jennachester,Development,Inactive,Eric Myers,09-04-2023,03-01-2026,06-11-2024
Arietis,192.168.33.119,Windows Server 2019,AMD EPYC,32,500,South Jennifer,Testing,Inactive,Kathleen Black,17-01-2022,02-01-2026,16-12-2023
Bootis,172.23.228.249,Amazon Linux 2,Intel Xeon,64,2000,New Doris,Staging,Decommissioned,Christine Mills,08-11-2022,22-09-2025,25-01-2024
Corvi,10.254.90.8,Windows Server 2019,Intel Xeon,32,500,Jennifershire,Testing,Decommissioned,Donald Smith,06-09-2023,08-04-2026,25-01-2024
Eridani,10.188.66.243,Red Hat Enterprise Linux 8,AMD EPYC,128,500,Mosstown,Staging,Inactive,Ronald Morrison,20-12-2022,06-04-2027,06-06-2024
Octantis,10.33.216.194,Red Hat Enterprise Linux 8,Intel Core i7,64,1000,West Diane,Production,Inactive,Ashley Schwartz MD,05-10-2022,22-09-2026,27-10-2024
Phoenicis,192.168.246.188,Red Hat Enterprise Linux 8,Intel Core i7,64,1000,Miguelside,Staging,Decommissioned,Cynthia Gonzalez,12-04-2022,12-12-2024,04-11-2024
Reticuli,172.28.44.11,Red Hat Enterprise Linux 8,Intel Core i5,16,2000,South Christophermouth,Staging,Inactive,Erica Perkins,11-09-2022,21-04-2026,04-10-2024
Telescopii,192.168.5.141,CentOS 7,Intel Xeon,128,1000,New Nancy,Development,Decommissioned,Joshua Morales,25-03-2023,03-06-2026,28-04-2024
Draco,10.59.57.39,CentOS 7,AMD EPYC,32,2000,Collinsview,Production,Decommissioned,Daniel Beltran,05-11-2023,28-07-2025,27-07-2024
Cephei,10.115.114.98,Amazon Linux 2,Intel Core i7,64,2000,Perezfort,Development,Inactive,Darrell Wong,25-11-2022,15-01-2026,21-04-2024
Piscis,192.168.209.74,Red Hat Enterprise Linux 8,Intel Xeon,16,1000,Keithport,Staging,Inactive,Linda Wheeler,08-08-2022,30-09-2027,18-08-2024
Orionis,10.192.118.75,Windows Server 2019,AMD EPYC,16,1000,North Joseph,Production,Active,Derek Rodriguez,08-07-2022,13-12-2026,17-05-2024
